sub	ses	run	runtype	trial_index	cue	stimulusintensity	singletrial_fname	expectrating	expectlabel	outcomerating	outcomelabel	expectrating_impute	expectlabel_impute	outcomerating_impute	outcomelabel_impute	expectrating_RT	expectrating_RTimpute	outcomerating_RT	outcomerating_RTimpute	pain_stimulus_delivery_success
sub-0038	ses-04	run-01	vicarious	2	high_cue	low_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-low.nii.gz	45.33	Strong	16.68	Moderate	45.33	Strong	16.68	Moderate	2.64	1.69	2.77	2.0	n/a
sub-0038	ses-04	run-01	vicarious	3	high_cue	med_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-med.nii.gz	41.75	Strong	19.16	Moderate	41.75	Strong	19.16	Moderate	2.92	2.37	3.7	2.84	n/a
sub-0038	ses-04	run-01	vicarious	4	low_cue	med_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz	0.93	No sensation	10.39	Moderate	0.93	No sensation	10.39	Moderate	2.28	1.38	2.35	1.75	n/a
sub-0038	ses-04	run-01	vicarious	5	high_cue	high_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz	29.66	Strong	n/a	n/a	29.66	Strong	29.54	Strong	2.16	1.61	n/a	2.97	n/a
sub-0038	ses-04	run-01	vicarious	6	low_cue	high_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz	6.26	Weak	110.61	Strongest sensation of any kind	6.26	Weak	110.61	Strongest sensation of any kind	1.96	1.36	3.55	2.62	n/a
sub-0038	ses-04	run-01	vicarious	7	high_cue	high_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-006_cuetype-high_stimintensity-high.nii.gz	64.68	Very Strong	122.13	Strongest sensation of any kind	64.68	Very Strong	122.13	Strongest sensation of any kind	2.17	1.67	2.79	1.89	n/a
sub-0038	ses-04	run-01	vicarious	8	high_cue	med_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz	100.2	Strongest sensation of any kind	26.77	Moderate	100.2	Strongest sensation of any kind	26.77	Moderate	2.95	1.92	2.78	1.48	n/a
sub-0038	ses-04	run-01	vicarious	9	low_cue	low_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz	11.08	Moderate	0.0	n/a	11.08	Moderate	0.0	n/a	2.82	2.37	1.7	0.95	n/a
sub-0038	ses-04	run-01	vicarious	10	low_cue	high_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz	1.04	Barely detectable	151.98	Strongest sensation of any kind	1.04	Barely detectable	151.98	Strongest sensation of any kind	3.2	2.15	2.82	1.34	n/a
sub-0038	ses-04	run-01	vicarious	11	low_cue	low_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-010_cuetype-low_stimintensity-low.nii.gz	0.0	n/a	2.07	Barely detectable	0.0	n/a	2.07	Barely detectable	1.52	1.03	1.9	1.09	n/a
sub-0038	ses-04	run-01	vicarious	12	low_cue	med_stim	sub-0038_ses-04_run-01_runtype-vicarious_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz	2.34	Barely detectable	0.92	No sensation	2.34	Barely detectable	0.92	No sensation	3.08	2.35	1.65	0.97	n/a
sub-0038	ses-04	run-02	pain	1	high_cue	high_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-high.nii.gz	107.92	Strongest sensation of any kind	121.2	Strongest sensation of any kind	107.92	Strongest sensation of any kind	121.2	Strongest sensation of any kind	1.8	1.33	2.57	1.94	success
sub-0038	ses-04	run-02	pain	2	low_cue	high_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-high.nii.gz	45.0	Strong	71.64	Very Strong	45.0	Strong	71.64	Very Strong	1.64	1.22	2.08	1.48	success
sub-0038	ses-04	run-02	pain	3	low_cue	high_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-high.nii.gz	21.8	Moderate	67.94	Very Strong	21.8	Moderate	67.94	Very Strong	1.72	1.23	2.65	2.17	success
sub-0038	ses-04	run-02	pain	4	high_cue	high_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-003_cuetype-high_stimintensity-high.nii.gz	106.7	Strongest sensation of any kind	92.54	Very Strong	106.7	Strongest sensation of any kind	92.54	Very Strong	2.33	1.62	2.25	1.5	success
sub-0038	ses-04	run-02	pain	5	low_cue	low_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-004_cuetype-low_stimintensity-low.nii.gz	53.96	Strong	39.27	Strong	53.96	Strong	39.27	Strong	1.75	1.3	3.37	2.96	success
sub-0038	ses-04	run-02	pain	6	high_cue	low_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-low.nii.gz	80.09	Very Strong	37.83	Strong	80.09	Very Strong	37.83	Strong	1.62	1.2	2.95	2.12	success
sub-0038	ses-04	run-02	pain	7	low_cue	med_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-006_cuetype-low_stimintensity-med.nii.gz	40.35	Strong	62.79	Strong	40.35	Strong	62.79	Strong	1.97	1.27	2.47	1.73	success
sub-0038	ses-04	run-02	pain	8	high_cue	med_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz	86.32	Very Strong	76.58	Very Strong	86.32	Very Strong	76.58	Very Strong	1.7	1.17	2.98	2.22	success
sub-0038	ses-04	run-02	pain	9	high_cue	med_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-008_cuetype-high_stimintensity-med.nii.gz	96.03	Very Strong	88.14	Very Strong	96.03	Very Strong	88.14	Very Strong	1.88	1.2	3.0	2.29	success
sub-0038	ses-04	run-02	pain	10	low_cue	med_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	31.0	Strong	73.57	Very Strong	31.0	Strong	73.57	Very Strong	1.68	1.35	2.45	1.83	success
sub-0038	ses-04	run-02	pain	11	high_cue	low_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-low.nii.gz	74.18	Very Strong	67.17	Very Strong	74.18	Very Strong	67.17	Very Strong	2.39	1.84	1.88	1.08	success
sub-0038	ses-04	run-02	pain	12	low_cue	low_stim	sub-0038_ses-04_run-02_runtype-pain_event-stimulus_trial-011_cuetype-low_stimintensity-low.nii.gz	53.18	Strong	47.77	Strong	53.18	Strong	47.77	Strong	1.65	1.17	3.42	1.88	success
sub-0038	ses-04	run-03	cognitive	1	high_cue	low_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz	66.87	Very Strong	18.73	Moderate	66.87	Very Strong	18.73	Moderate	2.32	1.54	3.17	1.72	n/a
sub-0038	ses-04	run-03	cognitive	2	low_cue	med_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz	0.99	No sensation	14.77	Moderate	0.99	No sensation	14.77	Moderate	1.51	1.12	3.03	2.27	n/a
sub-0038	ses-04	run-03	cognitive	3	high_cue	low_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-low.nii.gz	43.51	Strong	5.85	Weak	43.51	Strong	5.85	Weak	1.95	1.27	2.9	2.44	n/a
sub-0038	ses-04	run-03	cognitive	4	low_cue	med_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz	0.5	No sensation	1.39	Barely detectable	0.5	No sensation	1.39	Barely detectable	1.98	1.47	3.33	2.78	n/a
sub-0038	ses-04	run-03	cognitive	5	high_cue	high_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-high.nii.gz	34.07	Strong	17.99	Moderate	34.07	Strong	17.99	Moderate	3.72	1.36	3.03	2.28	n/a
sub-0038	ses-04	run-03	cognitive	6	low_cue	low_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-005_cuetype-low_stimintensity-low.nii.gz	3.45	Weak	1.84	Barely detectable	3.45	Weak	1.84	Barely detectable	2.92	1.98	2.05	1.27	n/a
sub-0038	ses-04	run-03	cognitive	7	low_cue	high_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz	0.49	No sensation	1.38	Barely detectable	0.49	No sensation	1.38	Barely detectable	1.75	1.32	2.1	1.2	n/a
sub-0038	ses-04	run-03	cognitive	8	low_cue	low_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-007_cuetype-low_stimintensity-low.nii.gz	0.96	No sensation	n/a	n/a	0.96	No sensation	8.75	Weak	1.82	1.42	n/a	2.17	n/a
sub-0038	ses-04	run-03	cognitive	9	high_cue	high_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-008_cuetype-high_stimintensity-high.nii.gz	39.09	Strong	50.76	Strong	39.09	Strong	50.76	Strong	1.96	1.46	2.57	2.0	n/a
sub-0038	ses-04	run-03	cognitive	10	low_cue	high_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-high.nii.gz	0.74	No sensation	45.81	Strong	0.74	No sensation	45.81	Strong	3.33	2.48	2.17	1.42	n/a
sub-0038	ses-04	run-03	cognitive	11	high_cue	med_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-med.nii.gz	61.89	Strong	9.08	Weak	61.89	Strong	9.08	Weak	1.47	1.1	3.75	2.14	n/a
sub-0038	ses-04	run-03	cognitive	12	high_cue	med_stim	sub-0038_ses-04_run-03_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz	22.98	Moderate	23.17	Moderate	22.98	Moderate	23.17	Moderate	2.02	1.67	2.78	1.75	n/a
sub-0038	ses-04	run-04	pain	1	low_cue	high_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-000_cuetype-low_stimintensity-high.nii.gz	47.77	Strong	81.25	Very Strong	47.77	Strong	81.25	Very Strong	1.72	1.12	3.1	2.4	success
sub-0038	ses-04	run-04	pain	2	high_cue	med_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-001_cuetype-high_stimintensity-med.nii.gz	72.44	Very Strong	61.28	Strong	72.44	Very Strong	61.28	Strong	2.57	1.52	2.29	1.55	success
sub-0038	ses-04	run-04	pain	3	low_cue	low_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-low.nii.gz	52.62	Strong	52.49	Strong	52.62	Strong	52.49	Strong	1.98	1.43	2.81	1.94	success
sub-0038	ses-04	run-04	pain	4	low_cue	low_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-low.nii.gz	31.16	Strong	n/a	n/a	31.16	Strong	26.87	Moderate	2.32	1.61	n/a	3.02	success
sub-0038	ses-04	run-04	pain	5	high_cue	low_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz	99.04	Strongest sensation of any kind	57.21	Strong	99.04	Strongest sensation of any kind	57.21	Strong	1.98	1.62	2.0	1.22	success
sub-0038	ses-04	run-04	pain	6	high_cue	med_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz	94.95	Very Strong	80.54	Very Strong	94.95	Very Strong	80.54	Very Strong	2.22	1.73	2.59	1.74	success
sub-0038	ses-04	run-04	pain	7	high_cue	low_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz	83.1	Very Strong	51.66	Strong	83.1	Very Strong	51.66	Strong	2.09	1.6	2.95	2.17	success
sub-0038	ses-04	run-04	pain	8	low_cue	high_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz	32.83	Strong	76.08	Very Strong	32.83	Strong	76.08	Very Strong	2.16	1.81	2.8	1.95	success
sub-0038	ses-04	run-04	pain	9	low_cue	med_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-med.nii.gz	33.56	Strong	65.8	Very Strong	33.56	Strong	65.8	Very Strong	2.67	1.8	2.31	1.37	success
sub-0038	ses-04	run-04	pain	10	low_cue	med_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	31.36	Strong	33.75	Strong	31.36	Strong	33.75	Strong	1.65	1.25	3.23	2.44	success
sub-0038	ses-04	run-04	pain	11	high_cue	high_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz	68.5	Very Strong	90.0	Very Strong	68.5	Very Strong	90.0	Very Strong	3.19	2.29	3.22	2.37	success
sub-0038	ses-04	run-04	pain	12	high_cue	high_stim	sub-0038_ses-04_run-04_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz	102.8	Strongest sensation of any kind	64.68	Very Strong	102.8	Strongest sensation of any kind	64.68	Very Strong	2.71	1.61	1.67	1.03	success
sub-0038	ses-04	run-05	vicarious	1	low_cue	med_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-000_cuetype-low_stimintensity-med.nii.gz	5.83	Weak	36.13	Strong	5.83	Weak	36.13	Strong	2.68	2.28	2.62	1.76	n/a
sub-0038	ses-04	run-05	vicarious	2	high_cue	low_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-001_cuetype-high_stimintensity-low.nii.gz	77.42	Very Strong	9.69	Weak	77.42	Very Strong	9.69	Weak	2.29	1.89	2.78	1.92	n/a
sub-0038	ses-04	run-05	vicarious	3	high_cue	high_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-002_cuetype-high_stimintensity-high.nii.gz	48.9	Strong	122.76	Strongest sensation of any kind	48.9	Strong	122.76	Strongest sensation of any kind	2.16	1.44	3.0	1.98	n/a
sub-0038	ses-04	run-05	vicarious	4	low_cue	med_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-003_cuetype-low_stimintensity-med.nii.gz	29.31	Strong	14.09	Moderate	29.31	Strong	14.09	Moderate	1.8	1.42	2.92	1.99	n/a
sub-0038	ses-04	run-05	vicarious	5	high_cue	low_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz	85.28	Very Strong	55.33	Strong	85.28	Very Strong	55.33	Strong	2.79	1.69	3.2	2.33	n/a
sub-0038	ses-04	run-05	vicarious	6	low_cue	high_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-005_cuetype-low_stimintensity-high.nii.gz	8.78	Weak	146.45	Strongest sensation of any kind	8.78	Weak	146.45	Strongest sensation of any kind	2.91	2.07	3.07	2.38	n/a
sub-0038	ses-04	run-05	vicarious	7	low_cue	low_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-006_cuetype-low_stimintensity-low.nii.gz	29.14	Strong	0.24	No sensation	29.14	Strong	0.24	No sensation	2.63	1.77	3.8	2.65	n/a
sub-0038	ses-04	run-05	vicarious	8	high_cue	med_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz	36.87	Strong	2.53	Barely detectable	36.87	Strong	2.53	Barely detectable	2.5	1.67	2.37	1.28	n/a
sub-0038	ses-04	run-05	vicarious	9	low_cue	high_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-008_cuetype-low_stimintensity-high.nii.gz	9.54	Weak	53.73	Strong	9.54	Weak	53.73	Strong	3.16	1.29	3.82	2.67	n/a
sub-0038	ses-04	run-05	vicarious	10	high_cue	med_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-009_cuetype-high_stimintensity-med.nii.gz	88.14	Very Strong	n/a	n/a	88.14	Very Strong	130.73	Strongest sensation of any kind	1.88	1.48	n/a	1.95	n/a
sub-0038	ses-04	run-05	vicarious	11	low_cue	low_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-010_cuetype-low_stimintensity-low.nii.gz	12.48	Moderate	3.22	Weak	12.48	Moderate	3.22	Weak	2.22	1.88	3.02	2.16	n/a
sub-0038	ses-04	run-05	vicarious	12	high_cue	high_stim	sub-0038_ses-04_run-05_runtype-vicarious_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz	62.8	Strong	108.96	Strongest sensation of any kind	62.8	Strong	108.96	Strongest sensation of any kind	2.03	1.53	2.71	2.07	n/a
sub-0038	ses-04	run-06	cognitive	1	low_cue	high_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-000_cuetype-low_stimintensity-high.nii.gz	1.4	Barely detectable	25.02	Moderate	1.4	Barely detectable	25.02	Moderate	1.43	1.38	3.42	2.3	n/a
sub-0038	ses-04	run-06	cognitive	2	high_cue	med_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-001_cuetype-high_stimintensity-med.nii.gz	36.69	Strong	n/a	n/a	36.69	Strong	n/a	n/a	2.62	1.77	n/a	n/a	n/a
sub-0038	ses-04	run-06	cognitive	3	low_cue	low_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-002_cuetype-low_stimintensity-low.nii.gz	4.42	Weak	3.91	Weak	4.42	Weak	3.91	Weak	2.13	1.33	3.25	1.13	n/a
sub-0038	ses-04	run-06	cognitive	4	low_cue	low_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-low.nii.gz	0.46	No sensation	4.84	Weak	0.46	No sensation	4.84	Weak	1.45	1.04	3.27	2.58	n/a
sub-0038	ses-04	run-06	cognitive	5	high_cue	low_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz	36.96	Strong	47.43	Strong	36.96	Strong	47.43	Strong	2.53	1.67	1.69	0.94	n/a
sub-0038	ses-04	run-06	cognitive	6	high_cue	med_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz	53.75	Strong	n/a	n/a	53.75	Strong	17.85	Moderate	1.93	1.53	n/a	1.0	n/a
sub-0038	ses-04	run-06	cognitive	7	high_cue	low_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz	31.83	Strong	38.77	Strong	31.83	Strong	38.77	Strong	1.52	1.11	3.9	0.98	n/a
sub-0038	ses-04	run-06	cognitive	8	low_cue	high_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-007_cuetype-low_stimintensity-high.nii.gz	0.48	No sensation	11.36	Moderate	0.48	No sensation	11.36	Moderate	1.67	1.22	3.67	1.13	n/a
sub-0038	ses-04	run-06	cognitive	9	low_cue	med_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-med.nii.gz	3.92	Weak	14.93	Moderate	3.92	Weak	14.93	Moderate	1.62	1.35	2.29	1.3	n/a
sub-0038	ses-04	run-06	cognitive	10	low_cue	med_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	8.1	Weak	40.78	Strong	8.1	Weak	40.78	Strong	2.15	2.02	3.31	2.41	n/a
sub-0038	ses-04	run-06	cognitive	11	high_cue	high_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz	58.6	Strong	31.01	Strong	58.6	Strong	31.01	Strong	2.4	1.67	3.47	2.7	n/a
sub-0038	ses-04	run-06	cognitive	12	high_cue	high_stim	sub-0038_ses-04_run-06_runtype-cognitive_event-stimulus_trial-011_cuetype-high_stimintensity-high.nii.gz	24.1	Moderate	34.01	Strong	24.1	Moderate	34.01	Strong	1.85	1.13	2.82	2.05	n/a
sub-0039	ses-01	run-02	cognitive	1	high_cue	low_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz	67.63	Very Strong	24.69	Moderate	67.63	Very Strong	24.69	Moderate	3.17	2.55	2.7	1.65	n/a
sub-0039	ses-01	run-02	cognitive	2	low_cue	med_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-001_cuetype-low_stimintensity-med.nii.gz	16.39	Moderate	9.24	Weak	16.39	Moderate	9.24	Weak	2.13	1.52	3.3	2.3	n/a
sub-0039	ses-01	run-02	cognitive	3	high_cue	high_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-002_cuetype-high_stimintensity-high.nii.gz	56.5	Strong	23.35	Moderate	56.5	Strong	23.35	Moderate	2.38	1.73	3.64	2.19	n/a
sub-0039	ses-01	run-02	cognitive	4	low_cue	high_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz	0.0	n/a	13.81	Moderate	0.0	n/a	13.81	Moderate	3.28	2.67	3.47	2.62	n/a
sub-0039	ses-01	run-02	cognitive	5	high_cue	low_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-004_cuetype-high_stimintensity-low.nii.gz	57.44	Strong	8.78	Weak	57.44	Strong	8.78	Weak	1.84	1.36	3.48	3.33	n/a
sub-0039	ses-01	run-02	cognitive	6	high_cue	med_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-005_cuetype-high_stimintensity-med.nii.gz	36.73	Strong	n/a	n/a	36.73	Strong	7.38	Weak	2.32	1.92	n/a	2.97	n/a
sub-0039	ses-01	run-02	cognitive	7	low_cue	high_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-006_cuetype-low_stimintensity-high.nii.gz	20.36	Moderate	6.93	Weak	20.36	Moderate	6.93	Weak	3.13	1.7	3.17	1.99	n/a
sub-0039	ses-01	run-02	cognitive	8	high_cue	med_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-007_cuetype-high_stimintensity-med.nii.gz	24.48	Moderate	29.35	Strong	24.48	Moderate	29.35	Strong	2.07	1.37	2.53	1.78	n/a
sub-0039	ses-01	run-02	cognitive	9	low_cue	low_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz	21.98	Moderate	23.68	Moderate	21.98	Moderate	23.68	Moderate	1.98	1.1	2.37	1.47	n/a
sub-0039	ses-01	run-02	cognitive	10	low_cue	low_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-009_cuetype-low_stimintensity-low.nii.gz	28.43	Moderate	4.15	Weak	28.43	Moderate	4.15	Weak	1.72	1.12	1.44	0.99	n/a
sub-0039	ses-01	run-02	cognitive	11	high_cue	high_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-010_cuetype-high_stimintensity-high.nii.gz	76.83	Very Strong	24.61	Moderate	76.83	Very Strong	24.61	Moderate	1.8	1.17	2.3	1.5	n/a
sub-0039	ses-01	run-02	cognitive	12	low_cue	med_stim	sub-0039_ses-01_run-02_runtype-cognitive_event-stimulus_trial-011_cuetype-low_stimintensity-med.nii.gz	13.76	Moderate	23.89	Moderate	13.76	Moderate	23.89	Moderate	2.06	1.44	1.6	1.05	n/a
sub-0039	ses-01	run-03	pain	1	high_cue	low_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz	48.21	Strong	55.61	Strong	48.21	Strong	55.61	Strong	2.18	1.73	2.6	1.8	success
sub-0039	ses-01	run-03	pain	2	low_cue	low_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-001_cuetype-low_stimintensity-low.nii.gz	19.31	Moderate	52.99	Strong	19.31	Moderate	52.99	Strong	1.93	1.22	2.3	1.47	success
sub-0039	ses-01	run-03	pain	3	low_cue	med_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-002_cuetype-low_stimintensity-med.nii.gz	17.12	Moderate	69.15	Very Strong	17.12	Moderate	69.15	Very Strong	3.18	2.47	3.34	2.57	success
sub-0039	ses-01	run-03	pain	4	low_cue	high_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-003_cuetype-low_stimintensity-high.nii.gz	51.66	Strong	61.06	Strong	51.66	Strong	61.06	Strong	2.04	1.5	2.83	2.0	success
sub-0039	ses-01	run-03	pain	5	high_cue	med_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-004_cuetype-high_stimintensity-med.nii.gz	59.08	Strong	49.4	Strong	59.08	Strong	49.4	Strong	2.69	2.14	2.35	1.69	success
sub-0039	ses-01	run-03	pain	6	high_cue	high_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-005_cuetype-high_stimintensity-high.nii.gz	38.34	Strong	53.37	Strong	38.34	Strong	53.37	Strong	3.7	3.1	3.22	2.4	success
sub-0039	ses-01	run-03	pain	7	high_cue	low_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-006_cuetype-high_stimintensity-low.nii.gz	54.16	Strong	39.31	Strong	54.16	Strong	39.31	Strong	1.94	1.34	3.05	2.48	success
sub-0039	ses-01	run-03	pain	8	high_cue	high_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-007_cuetype-high_stimintensity-high.nii.gz	59.0	Strong	52.49	Strong	59.0	Strong	52.49	Strong	2.81	2.24	1.78	1.18	success
sub-0039	ses-01	run-03	pain	9	low_cue	low_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-008_cuetype-low_stimintensity-low.nii.gz	56.31	Strong	32.74	Strong	56.31	Strong	32.74	Strong	1.55	1.08	2.64	1.94	success
sub-0039	ses-01	run-03	pain	10	low_cue	med_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-009_cuetype-low_stimintensity-med.nii.gz	40.2	Strong	66.95	Very Strong	40.2	Strong	66.95	Very Strong	2.92	2.28	3.03	2.55	success
sub-0039	ses-01	run-03	pain	11	low_cue	high_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-010_cuetype-low_stimintensity-high.nii.gz	55.8	Strong	63.64	Strong	55.8	Strong	63.64	Strong	1.5	0.97	2.98	2.28	success
sub-0039	ses-01	run-03	pain	12	high_cue	med_stim	sub-0039_ses-01_run-03_runtype-pain_event-stimulus_trial-011_cuetype-high_stimintensity-med.nii.gz	52.71	Strong	61.24	Strong	52.71	Strong	61.24	Strong	1.47	0.93	2.76	2.27	success
sub-0039	ses-01	run-04	pain	1	high_cue	low_stim	sub-0039_ses-01_run-04_runtype-pain_event-stimulus_trial-000_cuetype-high_stimintensity-low.nii.gz	44.84	Strong	70.25	Very Strong	44.84	Strong	70.25	Very Strong	2.49	2.0	2.48	1.87	success
